ROW,MOV_ID,TITLE,Budget,Reception,Recency,Length,Genre,Tempo,Fanfare
1,1,Avatar,6.6294,3.2883,0.5398,4.8571,1.7248,1.2687,-2.3154
2,2,Marvels The Avengers,7.2721,1.576,0.5216,5.4912,2.5385,2.0613,-3.4874
3,3,Titanic,5.3988,3.1221,0.2579,4.5962,0.2182,1.3333,-3.7269
4,4,The Dark Knight,5.6972,2.2305,1.2284,2.787,1.0663,0.52,-1.2881
5,5,The Dark Knight Rises,5.6841,1.3441,0.3555,3.9124,2.0916,0.1472,-2.7155
6,6,Shrek 2,4.5447,1.5304,1.0477,3.5795,-0.8534,1.1575,-0.6387
7,7,Star Wars: Episode I - The Phantom Menace,4.4261,1.0128,-0.0608,2.4544,1.0204,1.1812,-1.6365
8,8,Pirates of the Caribbean: Dead Mans Chest,5.1579,0.8275,0.9823,2.5658,0.258,0.9426,-3.0614
9,9,Toy Story 3,5.071,3.043,1.648,2.5152,0.5739,1.7696,-1.4223
10,10,The Hunger Games,4.3105,1.0373,1.3567,1.7482,0.8281,1.1083,0.0318
11,11,Spider-Man,4.0395,1.5195,0.4044,1.2899,0.9789,0.0888,-1.2797
12,12,Transformers: Revenge of the Fallen,4.7346,-0.6083,0.089,1.6039,1.7553,-0.9664,-2.6125
13,13,Harry Potter and the Deathly Hallows Part 2,5.3686,2.2403,1.1926,2.7595,0.8898,1.6801,-0.1315
14,14,Star Wars: Episode III - Revenge of the Sith,4.6693,1.1718,0.7412,2.1625,0.65,1.0015,-0.7332
15,15,The Lord of the Rings: The Return of the King,3.77,2.2885,0.6022,2.0957,0.6597,-0.127,0.2968
16,16,Spider-Man 2,3.9967,1.6597,0.7182,1.0333,1.0977,-0.4822,-1.0853
17,17,The Passion of the Christ,2.6173,0.6667,0.9505,1.0863,-1.6481,3.0401,-1.373
18,18,Jurassic Park,2.4595,2.094,-1.5609,0.8435,0.2068,-0.9074,-1.829
19,19,Transformers: Dark of the Moon,4.7926,-0.2309,0.5072,1.6666,1.6149,-1.0964,-2.3858
20,20,The Lord of the Rings: The Two Towers,3.3389,1.9658,0.4435,1.5757,0.6616,-0.2778,0.3672
21,21,Finding Nemo,3.5469,2.7016,0.9218,1.747,0.1745,2.0937,-0.3396
22,22,Spider-Man 3,4.96,0.9854,1.1109,1.5349,1.2746,-0.826,-2.239
23,23,Alice in Wonderland,4.361,1.2153,0.9131,1.0794,0.5862,-0.3185,-2.8075
24,24,Forrest Gump,1.831,2.1604,-0.8505,1.4549,-1.0267,1.2684,-1.7486
25,25,Shrek the Third,4.1966,0.3902,1.1084,3.2122,-0.6825,0.9705,-0.9435
26,26,Transformers,3.7128,0.0087,0.025,0.9207,1.4569,-0.9849,-1.1708
27,27,Iron Man,3.6308,1.0762,0.907,1.0361,1.0956,0.3505,-0.1971
28,28,Harry Potter and the Sorcerers Stone,3.7294,1.0516,0.0735,1.2049,0.6222,-0.6325,-1.3388
29,29,Indiana Jones and the Kingdom of the Crystal Skull,3.9425,1.7831,0.5181,0.511,-0.729,-0.8021,-2.7265
30,30,The Lord of the Rings: The Fellowship of the Ring,2.9952,2.0364,0.2857,1.4639,0.7336,-0.3662,0.5198
31,31,The Lion King,2.2998,1.5599,-0.7774,3.5969,-0.2933,1.5234,-0.0563
32,32,Iron Man 2,4.2997,0.5104,1.1982,1.1528,1.2932,0.0228,-1.1568
33,33,Pirates of the Caribbean: At Worlds End,4.8797,0.5172,1.1228,2.2503,0.4279,0.0125,-3.1037
34,34,Independence Day,2.7741,0.3956,-0.8669,1.65,2.0134,-0.0326,-0.2579
35,35,Pirates of the Caribbean: The Curse of the Black Pearl,2.9748,0.9182,0.5293,0.9358,-0.2051,0.7506,-1.3591
36,36,Star Wars: Episode II - Attack of the Clones,3.8886,0.7371,0.4072,1.4391,0.705,0.6874,-0.7542
37,37,Harry Potter and the Half-Blood Prince,4.6818,1.6914,0.9478,2.3239,1.741,-0.3568,-0.9534
38,38,The Twilight Saga: Eclipse,2.7257,0.3364,1.0224,0.7961,-0.2383,1.9251,-0.4478
39,39,The Twilight Saga: New Moon,3.2858,0.1415,0.6072,1.4774,-0.23,1.9809,-1.4038
40,40,Harry Potter and the Deathly Hallows Part 1,4.2699,1.3424,1.0305,1.7866,0.4401,0.8639,0.2771
41,41,The Sixth Sense,1.8599,0.7075,-0.2705,0.5765,-0.2801,1.5492,-1.3999
42,42,Up,3.5793,2.2676,1.3539,3.2889,-0.3543,0.5393,0.5999
43,43,Inception,3.8109,1.545,1.0628,0.9269,1.5481,-1.2259,0.1886
44,44,Harry Potter and the Order of the Phoenix,4.2336,1.4713,0.7225,1.8099,1.2134,0.2318,-0.4216
45,45,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",3.8617,1.6465,0.8905,1.3678,1.3762,-0.1039,-0.275
