Question Rank,Movie ID,Movie Title,Distribution,Hype,Recency,Audience,Sentiment,Style,Drama,Thrill,Release,Action
0,1,Avatar,-4.659,-5.040,-3.710,-5.581,-5.128,-3.914,-4.097,-4.879,-5.152,-4.635
1,2,Marvels The Avengers,-4.269,-4.267,-5.222,-4.532,-3.822,-5.442,-2.833,-3.838,-5.325,-5.653
2,3,Titanic,-3.824,-4.384,-3.895,-3.105,-0.154,-4.494,-4.290,-4.962,-4.534,-3.119
3,4,The Dark Knight,-4.108,-1.613,-4.343,-3.129,-4.301,-4.891,-3.969,-3.150,-5.424,-3.236
4,5,The Dark Knight Rises,-4.039,-3.612,-4.170,-3.398,-3.912,-5.212,-3.325,-4.581,-4.176,-4.252
5,6,Shrek 2,-3.873,-3.548,-4.117,-3.080,-2.908,-3.966,-3.476,-3.369,-3.240,-2.497
6,7,Star Wars: Episode I - The Phantom Menace,-4.545,-3.068,-3.472,-1.711,-4.264,-4.314,-3.549,-3.376,-2.129,-4.077
7,8,Pirates of the Caribbean: Dead Mans Chest,-0.765,-2.385,-3.731,-1.777,-3.641,-4.472,-3.297,-3.445,-3.804,-3.759
8,9,Toy Story 3,-4.746,-4.446,-4.893,-4.022,-4.220,-1.218,-1.910,-3.169,-4.037,-4.344
9,10,The Hunger Games,-3.826,-3.073,-2.993,-4.495,-4.348,-3.878,-3.098,-2.124,-3.659,-3.224
10,11,Spider-Man,-4.314,-0.371,-3.436,-3.329,-3.204,-4.300,-3.127,-2.898,-4.066,-1.662
11,12,Transformers: Revenge of the Fallen,-2.184,-3.182,-1.160,-3.612,-3.398,-3.515,-3.687,-4.425,-1.955,-2.507
12,13,Harry Potter and the Deathly Hallows Part 2,-0.847,-3.130,-2.560,-2.223,-4.572,-2.967,-2.495,-0.407,-1.861,-2.797
13,14,Star Wars: Episode III - Revenge of the Sith,-3.075,-2.676,-3.448,-3.397,-3.120,-2.789,-3.393,-4.548,-2.466,-2.744
14,15,The Lord of the Rings: The Return of the King,-3.119,-0.357,-3.376,-1.949,-3.417,-2.932,-3.880,-3.331,0.141,-1.934
15,16,Spider-Man 2,-2.268,-1.610,-3.856,-0.799,-3.283,-2.436,-2.003,-2.622,-1.308,-2.381
16,17,The Passion of the Christ,-2.598,-1.062,0.008,-1.410,-3.312,-3.622,-1.360,-1.585,0.675,-2.075
17,18,Jurassic Park,-2.617,-3.724,-3.045,-1.678,-3.137,-0.700,-2.784,-3.505,-2.310,-2.326
18,19,Transformers: Dark of the Moon,-3.005,-4.418,-1.754,-2.366,-3.876,-2.527,-1.125,-0.481,-1.230,0.464
19,20,The Lord of the Rings: The Two Towers,-1.903,-3.659,-2.799,-3.581,-3.049,-3.348,-3.403,-2.471,-1.232,-2.450
20,21,Finding Nemo,-3.327,-2.459,-3.856,-2.830,-2.003,-2.390,-3.163,-4.769,-2.464,-2.605
21,22,Spider-Man 3,-3.627,-2.227,-1.522,-1.560,-2.765,-2.230,-1.997,-1.419,-3.311,-3.322
22,23,Alice in Wonderland,-3.366,-2.502,-0.807,-3.225,-0.995,-2.449,-0.466,-1.924,-1.663,-3.203
23,24,Forrest Gump,-3.011,-2.524,-2.097,-2.566,-1.156,-3.184,-1.016,-3.269,-2.180,-1.823
24,25,Shrek the Third,-0.688,-2.026,-2.445,-3.200,-3.861,-1.876,-2.653,-2.296,-3.128,-1.218
25,26,Transformers,-2.325,-2.457,-3.040,-0.633,-2.899,-2.291,-2.386,-0.428,-2.106,-2.094
26,27,Iron Man,-2.038,-1.046,-2.740,-1.140,-2.476,-1.606,-0.150,-1.863,-1.163,-1.991
27,28,Harry Potter and the Sorcerers Stone,-1.535,-1.933,-0.979,-1.460,-1.618,-1.761,-1.961,-1.849,-3.538,-2.154
